,City,Cloudiness,Date,Country,Humidity,Lat,Lon,Max Temp,Wind MPH
0,butaritari,0,1594997303,KI,76,3.07,172.79,82.92199999999997,6.3
1,beloha,18,1594997430,MG,72,-25.17,45.05,63.698000000000036,3.04
2,mataura,0,1594997296,NZ,97,-46.19,168.86,29.065999999999974,0.84
3,westport,90,1594997430,US,83,41.14,-73.36,71.59999999999997,5.1
4,bluff,37,1594997297,NZ,90,-46.6,168.33,36.644000000000005,2.45
5,busselton,91,1594997295,AU,73,-33.65,115.33,44.99599999999998,3.43
6,mount gambier,91,1594997298,AU,81,-37.83,140.77,46.39999999999998,6.2
7,kirkland lake,20,1594997430,CA,73,48.14,-80.04,71.59999999999997,3.1
8,kapaa,90,1594997303,US,88,22.08,-159.32,78.80000000000001,3.1
9,denizli,20,1594997431,TR,27,37.84,29.07,89.59999999999997,5.7
10,hobart,66,1594997061,AU,93,-42.88,147.33,39.99199999999996,2.1
11,dikson,38,1594997308,RU,95,73.51,80.55,41.648000000000025,4.43
12,jamestown,75,1594997241,US,73,42.1,-79.24,75.00200000000001,5.7
13,atuona,5,1594997301,PF,76,-9.8,-139.03,78.78199999999998,6.48
14,castro marim,0,1594997431,PT,45,37.22,-7.44,91.00399999999996,4.6
15,ovsyanka,40,1594997431,RU,62,55.96,92.55,58.99999999999994,2.0
16,port-cartier,75,1594997431,CA,68,50.03,-66.87,66.19999999999999,4.6
17,barrow,90,1594997296,US,80,71.29,-156.79,33.799999999999955,6.2
18,bredasdorp,0,1594997297,ZA,29,-34.53,20.04,76.99999999999994,1.5
19,rikitea,100,1594997295,PF,81,-23.12,-134.97,73.18399999999991,3.32
20,punta arenas,90,1594997225,CL,100,-53.15,-70.92,26.599999999999966,1.0
21,bakchar,0,1594997431,RU,72,57.02,82.07,62.617999999999995,2.03
22,nakhon thai,74,1594997431,TH,86,17.1,100.84,77.43199999999996,0.79
23,ushuaia,0,1594997129,AR,86,-54.8,-68.3,26.599999999999966,2.6
24,ostersund,100,1594997432,SE,49,63.18,14.64,69.80000000000001,4.1
25,fairbanks,90,1594997432,US,100,64.84,-147.72,55.39999999999992,1.5
26,vaini,75,1594997298,TO,94,-21.2,-175.2,73.39999999999992,2.1
27,victoria,0,1594997295,HK,74,22.29,114.16,85.99999999999994,4.02
28,kodiak,90,1594997320,US,87,57.79,-152.41,55.39999999999992,2.1
29,georgetown,20,1594997297,MY,100,5.41,100.34,84.19999999999999,3.6
30,bathsheba,40,1594997328,BB,66,13.22,-59.52,87.80000000000001,7.7
31,longyearbyen,20,1594997305,SJ,81,78.22,15.64,49.99999999999994,2.1
32,albany,93,1594997296,US,77,42.6,-73.97,73.99399999999997,3.12
33,tiksi,100,1594997301,RU,75,71.69,128.87,44.06,8.62
34,bukachacha,35,1594997432,RU,91,52.98,116.92,57.811999999999955,1.06
35,bambous virieux,75,1594997303,MU,78,-20.34,57.76,71.59999999999997,5.1
36,clarence town,75,1594997310,AU,100,-32.58,151.78,53.995999999999924,3.6
37,port keats,0,1594997433,AU,39,-14.25,129.55,69.22399999999999,2.49
38,gorey,92,1594997433,IE,83,52.67,-6.29,66.00200000000001,5.07
39,roma,90,1594997045,US,83,43.21,-75.46,71.99599999999992,5.27
40,vestmannaeyjar,40,1594997314,IS,70,63.44,-20.27,48.19999999999999,9.3
41,goderich,0,1594997119,CA,84,43.75,-81.72,75.99200000000002,3.76
42,airai,43,1594997297,TL,100,-8.93,125.41,57.50600000000003,1.31
43,coquimbo,75,1594997331,CL,87,-29.95,-71.34,49.99999999999994,2.6
44,beeville,75,1594997433,US,84,28.4,-97.75,85.99999999999994,4.1
45,chengde,100,1594997375,CN,89,40.97,117.94,68.97200000000004,0.51
46,dingle,70,1594997312,PH,79,11.0,122.67,78.47600000000006,2.33
47,hermanus,0,1594997294,ZA,47,-34.42,19.23,71.00600000000003,0.45
48,yellowknife,75,1594997124,CA,72,62.46,-114.35,62.995999999999924,1.5
49,winnemucca,1,1594997220,US,29,40.97,-117.74,62.599999999999966,1.5
50,pochutla,75,1594997433,MX,69,15.74,-96.47,78.80000000000001,0.43
51,tasiilaq,5,1594997306,GL,57,65.61,-37.64,57.19999999999999,3.1
52,lekoni,92,1594997434,GA,52,-1.58,14.26,83.786,3.18
53,wajir,100,1594997434,KE,30,1.75,40.06,86.23399999999987,9.08
54,tuktoyaktuk,75,1594997297,CA,87,69.45,-133.04,46.39999999999998,4.1
55,thompson,40,1594997299,CA,77,55.74,-97.86,62.599999999999966,2.1
56,san rafael,9,1594997434,AR,41,-34.62,-68.33,56.13799999999998,5.62
57,rio gallegos,90,1594997182,AR,100,-51.62,-69.22,19.399999999999977,0.5
58,ngunguru,97,1594997404,NZ,3,-35.62,174.5,60.00799999999998,2.68
59,krasnoselkup,77,1594997434,RU,60,65.7,82.47,59.44999999999999,4.69
60,olot,40,1594997434,ES,65,42.18,2.49,80.00600000000003,6.2
61,port alfred,0,1594997295,ZA,40,-33.59,26.89,67.45999999999998,5.19
62,san patricio,90,1594997339,MX,94,19.22,-104.7,76.99999999999994,1.33
63,matagami,75,1594997251,CA,72,49.75,-77.63,67.99999999999994,4.1
64,luba,40,1594997435,GQ,88,3.46,8.55,80.59999999999997,3.1
65,ancud,90,1594997325,CL,93,-41.87,-73.82,49.99999999999994,4.6
66,saskylakh,100,1594997315,RU,89,71.92,114.08,51.49400000000003,5.09
67,vila velha,20,1594997105,BR,64,-20.33,-40.29,75.99200000000002,1.5
68,sao filipe,99,1594997304,CV,76,14.9,-24.5,76.22600000000006,4.27
