,City,Cloudiness,Date,Country,Humidity,Lat,Lon,Max Temp,Wind MPH
0,bambous virieux,75,1594920356,MU,73,-20.34,57.76,295.15,3.6
1,hasaki,75,1594920335,JP,93,35.73,140.83,291.15,3.1
2,pueblo,1,1594920754,US,50,38.25,-104.61,300.93,2.1
3,port elizabeth,23,1594920346,ZA,81,-33.92,25.57,283.15,1.5
4,leningradskiy,95,1594920725,RU,90,69.38,178.42,278.41,4.66
5,carballo,96,1594920831,ES,57,43.21,-8.69,297.59,3.6
6,tiznit,58,1594920356,MA,33,29.58,-9.5,304.95,2.72
7,dogondoutchi,52,1594920831,NE,43,13.64,4.03,306.63,4.01
8,margate,60,1594920333,GB,69,51.38,1.39,293.15,2.35
9,fortuna,1,1594920364,US,87,40.6,-124.16,289.82,3.6
10,provideniya,84,1594920360,RU,80,64.38,-173.3,283.83,0.15
11,lebu,100,1594920355,CL,86,-37.62,-73.65,285.41,7.69
12,san patricio,40,1594920341,MX,75,19.22,-104.7,305.15,5.1
13,bredasdorp,74,1594920235,ZA,87,-34.53,20.04,283.15,1.5
14,kruisfontein,25,1594920329,ZA,48,-34.0,24.73,283.4,2.01
15,kaitangata,41,1594920321,NZ,71,-46.28,169.85,277.59,0.89
16,rikitea,100,1594920322,PF,83,-23.12,-134.97,296.21,1.7
17,hermanus,44,1594920324,ZA,84,-34.42,19.23,283.71,3.11
18,bluff,44,1594920325,NZ,83,-46.6,168.33,277.04,1.34
19,mataura,32,1594920240,NZ,83,-46.19,168.86,277.04,1.34
20,tessalit,65,1594920360,ML,24,20.2,1.01,308.66,5.93
21,cidreira,96,1594920327,BR,76,-30.18,-50.21,286.41,6.15
22,clyde river,75,1594920333,CA,59,70.47,-68.59,289.15,2.6
23,victoria,92,1594920183,HK,78,22.29,114.16,303.15,2.68
24,punta arenas,75,1594920323,CL,92,-53.15,-70.92,273.15,3.1
25,port lincoln,0,1594920344,AU,84,-34.73,135.87,284.95,4.74
